performance_id,pgs_id,sampleset_id,reported_trait,auc_parsed_single,auc_parsed_ci_lower,auc_parsed_ci_upper,auc_native,ci_native_lower,ci_native_upper,auc_native_evaldf,ci_native_lower_evaldf,ci_native_upper_evaldf,auc_native_any,ci_native_lower_any,ci_native_upper_any,auc_single,reported_ci_lower,reported_ci_upper,auc,estimate_ci_lower,estimate_ci_upper,ancestry_eval,train_bucket
PPM000001,PGS000001,PSS000001,All breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000002,PGS000002,PSS000003,ER-positive breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000003,PGS000003,PSS000002,ER-negative breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000004,PGS000004,PSS000004,Invasive breast cancer,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,0.63,NA,NA,European,Train: European-only
PPM000005,PGS000004,PSS000007,Incident breast cancer cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000006,PGS000005,PSS000005,ER-positive breast cancer,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641,NA,NA,0.641,NA,NA,European,Train: European-only
PPM000007,PGS000006,PSS000006,ER-negative breast cancer,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,0.601,NA,NA,European,Train: European-only
PPM000008,PGS000007,PSS000004,Invasive breast cancer,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,0.636,NA,NA,European,Train: European-only
PPM000009,PGS000008,PSS000005,ER-positive breast cancer,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,0.647,NA,NA,European,Train: European-only
PPM000010,PGS000009,PSS000006,ER-negative breast cancer,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,0.6,NA,NA,European,Train: European-only
PPM000011,PGS000001,PSS000004,Invasive breast cancer,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,0.603,NA,NA,European,Train: European-only
PPM000012,PGS000002,PSS000005,ER-positive breast cancer,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,NA,NA,0.615,NA,NA,European,Train: European-only
PPM000013,PGS000003,PSS000006,ER-negative breast cancer,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584,NA,NA,0.584,NA,NA,European,Train: European-only
PPM000014,PGS000010,PSS000008,Coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000014,PGS000010,PSS000008,Coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000014,PGS000010,PSS000008,Coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000015,PGS000010,PSS000009,Coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
