performance_id,pgs_id,sampleset_id,auc_single,n_cases,n_controls,has_auc,inferred_any,inferred_kept,reason
PPM000004,PGS000004,PSS000004,0.63,11428,18323,TRUE,TRUE,TRUE,rescued
PPM000006,PGS000005,PSS000005,0.641,7992,3436,TRUE,TRUE,TRUE,rescued
PPM000007,PGS000006,PSS000006,0.601,1259,10169,TRUE,TRUE,TRUE,rescued
PPM000008,PGS000007,PSS000004,0.636,11428,18323,TRUE,TRUE,TRUE,rescued
PPM000009,PGS000008,PSS000005,0.647,7992,3436,TRUE,TRUE,TRUE,rescued
PPM000010,PGS000009,PSS000006,0.6,1259,10169,TRUE,TRUE,TRUE,rescued
PPM000011,PGS000001,PSS000004,0.603,11428,18323,TRUE,TRUE,TRUE,rescued
PPM000012,PGS000002,PSS000005,0.615,7992,3436,TRUE,TRUE,TRUE,rescued
PPM000013,PGS000003,PSS000006,0.584,1259,10169,TRUE,TRUE,TRUE,rescued
PPM000042,PGS000022,PSS000029,0.8508,478,290,TRUE,TRUE,TRUE,rescued
PPM000043,PGS000022,PSS000028,0.9003,65,43,TRUE,TRUE,TRUE,rescued
PPM000044,PGS000022,PSS000027,0.7522,84,63,TRUE,TRUE,TRUE,rescued
PPM000048,PGS000024,PSS000032,0.921,387,373613,TRUE,TRUE,TRUE,rescued
PPM000049,PGS000021,PSS000032,0.893,387,373613,TRUE,TRUE,TRUE,rescued
PPM000080,PGS000036,PSS000054,0.66,13480,311390,TRUE,TRUE,TRUE,rescued
PPM000081,PGS000036,PSS000054,0.73,13480,311390,TRUE,TRUE,TRUE,rescued
PPM000093,PGS000040,PSS000059,0.9,647,1829,TRUE,TRUE,TRUE,rescued
PPM000094,PGS000040,PSS000061,0.87,497,543,TRUE,TRUE,TRUE,rescued
PPM000095,PGS000040,PSS000062,0.86,803,846,TRUE,TRUE,TRUE,rescued
PPM000096,PGS000040,PSS000063,0.87,778,1422,TRUE,TRUE,TRUE,rescued
PPM000097,PGS000040,PSS000060,0.87,5907,4397,TRUE,TRUE,TRUE,rescued
PPM000126,PGS000050,PSS000078,0.606,11905,11662,TRUE,TRUE,TRUE,rescued
PPM000383,PGS000013,PSS000219,0.86,126,10884,TRUE,TRUE,TRUE,rescued
