performance_id,pgs_id,sampleset_id,reported_trait,auc_parsed_single,auc_parsed_ci_lower,auc_parsed_ci_upper,auc_native,ci_native_lower,ci_native_upper,auc_native_evaldf,ci_native_lower_evaldf,ci_native_upper_evaldf,auc_native_any,ci_native_lower_any,ci_native_upper_any,auc_single,reported_ci_lower,reported_ci_upper,auc,estimate_ci_lower,estimate_ci_upper,ancestry_eval,train_bucket,ci_lo_logit,ci_hi_logit,ci_lower_inferred,ci_upper_inferred,ci_lower_final,ci_upper_final,has_ci_final,ci_source_final
PPM000001,PGS000001,PSS000001,All breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only,NA,NA,NA,NA,NA,NA,FALSE,none
PPM000002,PGS000002,PSS000003,ER-positive breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only,NA,NA,NA,NA,NA,NA,FALSE,none
PPM000003,PGS000003,PSS000002,ER-negative breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only,NA,NA,NA,NA,NA,NA,FALSE,none
PPM000004,PGS000004,PSS000004,Invasive breast cancer,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,0.63,NA,NA,European,Train: European-only,0.6233817042162161,0.6365697971829303,0.6233817042162161,0.6365697971829303,0.6233817042162161,0.6365697971829303,TRUE,inferred_hm
PPM000005,PGS000004,PSS000007,Incident breast cancer cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only,NA,NA,NA,NA,NA,NA,FALSE,none
PPM000006,PGS000005,PSS000005,ER-positive breast cancer,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641,NA,NA,0.641,NA,NA,European,Train: European-only,0.630388930438786,0.6514748611068175,0.630388930438786,0.6514748611068175,0.630388930438786,0.6514748611068175,TRUE,inferred_hm
PPM000007,PGS000006,PSS000006,ER-negative breast cancer,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,0.601,NA,NA,European,Train: European-only,0.5835442094323781,0.6182028353986618,0.5835442094323781,0.6182028353986618,0.5835442094323781,0.6182028353986618,TRUE,inferred_hm
PPM000008,PGS000007,PSS000004,Invasive breast cancer,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,0.636,NA,NA,European,Train: European-only,0.6294017158442282,0.6425475245135454,0.6294017158442282,0.6425475245135454,0.6294017158442282,0.6425475245135454,TRUE,inferred_hm
PPM000009,PGS000008,PSS000005,ER-positive breast cancer,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,0.647,NA,NA,European,Train: European-only,0.6364541278300694,0.6574046257943755,0.6364541278300694,0.6574046257943755,0.6364541278300694,0.6574046257943755,TRUE,inferred_hm
PPM000010,PGS000009,PSS000006,ER-negative breast cancer,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,0.6,NA,NA,European,Train: European-only,0.5825452138513718,0.6172045349171568,0.5825452138513718,0.6172045349171568,0.5825452138513718,0.6172045349171568,TRUE,inferred_hm
PPM000011,PGS000001,PSS000004,Invasive breast cancer,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,0.603,NA,NA,European,Train: European-only,0.596307674186721,0.6096540063262076,0.596307674186721,0.6096540063262076,0.596307674186721,0.6096540063262076,TRUE,inferred_hm
